## n_models: 50 n_keep: 10 close_bins: 1
# scale	max_dist	up_freq	low_freq	dcutoff	correlation
0.01	100	0	-1.2	2	0.813449423831
0.01	100	0	-0.9	2	0.815845607179
0.01	100	0	-0.6	2	0.812347425002
0.01	100	0	-0.3	2	0.814615424731
0.01	100	0	0	2	0.819369886481
0.01	100	0.3	-1.2	2	0.808449645944
0.01	100	0.3	-0.9	2	0.809261833655
0.01	100	0.3	-0.6	2	0.806308877852
0.01	100	0.3	-0.3	2	0.812371889862
0.01	100	0.3	0	2	0.813765185592
0.01	100	0.6	-1.2	2	0.771433929017
0.01	100	0.6	-0.9	2	0.771980459924
0.01	100	0.6	-0.6	2	0.776059479296
0.01	100	0.6	-0.3	2	0.77753223432
0.01	100	0.6	0	2	0.774515805323
0.01	100	0.9	-1.2	2	0.775616362962
0.01	100	0.9	-0.9	2	0.777392726042
0.01	100	0.9	-0.6	2	0.772219237558
0.01	100	0.9	-0.3	2	0.7776918768
0.01	100	0.9	0	2	0.771815948462
0.01	100	1.2	-1.2	2	0.718478558878
0.01	100	1.2	-0.9	2	0.716021680004
0.01	100	1.2	-0.6	2	0.719391877297
0.01	100	1.2	-0.3	2	0.720851408455
0.01	100	1.2	0	2	0.717710174798
0.01	300	0	-1.2	2	0.803972657695
0.01	300	0	-0.9	2	0.819696073374
0.01	300	0	-0.6	2	0.824362573261
0.01	300	0	-0.3	2	0.815724925143
0.01	300	0	0	2	0.819052450736
0.01	300	0.3	-1.2	2	0.789112296508
0.01	300	0.3	-0.9	2	0.806975955256
0.01	300	0.3	-0.6	2	0.791582858838
0.01	300	0.3	-0.3	2	0.79258366457
0.01	300	0.3	0	2	0.795352840925
0.01	300	0.6	-1.2	2	0.773012251914
0.01	300	0.6	-0.9	2	0.769582490136
0.01	300	0.6	-0.6	2	0.783235030571
0.01	300	0.6	-0.3	2	0.786452521693
0.01	300	0.6	0	2	0.785391427049
0.01	300	0.9	-1.2	2	0.718876030988
0.01	300	0.9	-0.9	2	0.72321281097
0.01	300	0.9	-0.6	2	0.729458036554
0.01	300	0.9	-0.3	2	0.721056263727
0.01	300	0.9	0	2	0.728269578597
0.01	300	1.2	-1.2	2	0.65889026689
0.01	300	1.2	-0.9	2	0.656724594572
0.01	300	1.2	-0.6	2	0.663255764212
0.01	300	1.2	-0.3	2	0.668820376118
0.01	300	1.2	0	2	0.675245197442
0.01	500	0	-1.2	2	0.589616396815
0.01	500	0	-0.9	2	0.602919334111
0.01	500	0	-0.6	2	0.616303095932
0.01	500	0	-0.3	2	0.608950281412
0.01	500	0	0	2	0.602913343373
0.01	500	0.3	-1.2	2	0.586030848542
0.01	500	0.3	-0.9	2	0.589792603377
0.01	500	0.3	-0.6	2	0.591285007685
0.01	500	0.3	-0.3	2	0.586564464148
0.01	500	0.3	0	2	0.586291589507
0.01	500	0.6	-1.2	2	0.574488702025
0.01	500	0.6	-0.9	2	0.589653744331
0.01	500	0.6	-0.6	2	0.600198199486
0.01	500	0.6	-0.3	2	0.600956847192
0.01	500	0.6	0	2	0.587897707385
0.01	500	0.9	-1.2	2	0.582243214148
0.01	500	0.9	-0.9	2	0.585972733163
0.01	500	0.9	-0.6	2	0.597173553629
0.01	500	0.9	-0.3	2	0.602084053832
0.01	500	0.9	0	2	0.593883789789
0.01	500	1.2	-1.2	2	0.573793885219
0.01	500	1.2	-0.9	2	0.574522007892
0.01	500	1.2	-0.6	2	0.564544814524
0.01	500	1.2	-0.3	2	0.567122026589
0.01	500	1.2	0	2	0.57060860073
0.01	700	0	-1.2	2	0.427299584117
0.01	700	0	-0.9	2	0.434796160679
0.01	700	0	-0.6	2	0.421313979199
0.01	700	0	-0.3	2	0.420923352169
0.01	700	0	0	2	0.420548728736
0.01	700	0.3	-1.2	2	0.404209842087
0.01	700	0.3	-0.9	2	0.398858550272
0.01	700	0.3	-0.6	2	0.398792082065
0.01	700	0.3	-0.3	2	0.403169367512
0.01	700	0.3	0	2	0.396959142427
0.01	700	0.6	-1.2	2	0.37325067845
0.01	700	0.6	-0.9	2	0.40183369047
0.01	700	0.6	-0.6	2	0.413113954485
0.01	700	0.6	-0.3	2	0.410783945401
0.01	700	0.6	0	2	0.409438891693
0.01	700	0.9	-1.2	2	0.388177910652
0.01	700	0.9	-0.9	2	0.399218251795
0.01	700	0.9	-0.6	2	0.398257626535
0.01	700	0.9	-0.3	2	0.393468710873
0.01	700	0.9	0	2	0.39148375603
0.01	700	1.2	-1.2	2	0.393423517375
0.01	700	1.2	-0.9	2	0.397133478942
0.01	700	1.2	-0.6	2	0.395325996317
0.01	700	1.2	-0.3	2	0.394728823702
0.01	700	1.2	0	2	0.390089569803
0.01	900	0	-1.2	2	0.339213924205
0.01	900	0	-0.9	2	0.356187034769
0.01	900	0	-0.6	2	0.325861676359
0.01	900	0	-0.3	2	0.323566456148
0.01	900	0	0	2	0.325840985443
0.01	900	0.3	-1.2	2	0.328509885667
0.01	900	0.3	-0.9	2	0.325814160962
0.01	900	0.3	-0.6	2	0.306754598101
0.01	900	0.3	-0.3	2	0.301827303331
0.01	900	0.3	0	2	0.299690871763
0.01	900	0.6	-1.2	2	0.291767440784
0.01	900	0.6	-0.9	2	0.313904956564
0.01	900	0.6	-0.6	2	0.324021402438
0.01	900	0.6	-0.3	2	0.306583061987
0.01	900	0.6	0	2	0.304249479858
0.01	900	0.9	-1.2	2	0.287708703998
0.01	900	0.9	-0.9	2	0.287446917786
0.01	900	0.9	-0.6	2	0.29530373688
0.01	900	0.9	-0.3	2	0.295368726506
0.01	900	0.9	0	2	0.288761167864
0.01	900	1.2	-1.2	2	0.279384682671
0.01	900	1.2	-0.9	2	0.286706774965
0.01	900	1.2	-0.6	2	0.292124926868
0.01	900	1.2	-0.3	2	0.288321235264
0.01	900	1.2	0	2	0.286042177965
